date,title,source,category,url,summary,severity
2026-04-21,"Handling the CVE Flood With EPSS, (Mon, Apr 20th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32914,"Every morning, security people around the world face the same ritual: opening their vulnerability feed to find a lot of new CVE entries that appeared overnight. Over the past decade, this flood has become a defining challenge of modern defensive security. Some numbers[ 1 ]: CVEs published in 2023: 2…",Crítica
2026-04-21,The Gentlemen ransomware now uses SystemBC for bot-powered attacks,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/the-gentlemen-ransomware-now-uses-systembc-for-bot-powered-attacks/,,Crítica
2026-04-21,FakeWallet crypto stealer spreading through iOS apps in the App Store,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/fakewallet-cryptostealer-ios-app-store/119474/,"In March 2026, we uncovered more than twenty phishing apps in the Apple App Store masquerading as popular crypto wallets. Once launched, these apps redirect users to browser pages designed to look similar to the App Store and distributing trojanized versions of legitimate wallets. The infected apps …",Crítica
