date,title,source,category,url,summary,severity
2026-04-24,Chinese APT Abuses Multiple Cloud Tools to Spy on Mongolia,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cyberattacks-data-breaches/chinese-apt-abuses-cloud-tools-spy-mongolia,,Crítica
2026-04-24,'Zealot' Shows What AI's Capable of in Staged Cloud Attack,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cyber-risk/zealot-shows-ai-execute-full-cloud-attacks,,Alta
2026-04-24,‘CanisterWorm’ Springs Wiper Attack Targeting Iran,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/03/canisterworm-springs-wiper-attack-targeting-iran/,"A financially motivated data theft and extortion group is attempting to inject itself into the Iran war, unleashing a worm that spreads through poorly secured cloud services and wipes data on infected systems that use Iran’s time zone or have Farsi set as the default language. Experts say the wiper …",Alta
2026-04-24,Trigona ransomware attacks use custom exfiltration tool to steal data,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/trigona-ransomware-attacks-use-custom-exfiltration-tool-to-steal-data/,,Crítica
