date,title,source,category,url,summary,severity
2026-04-04,"TeamPCP Supply Chain Campaign: Update 006 - CERT-EU Confirms European Commission Cloud Breach, Sportradar Details Emerge, and Mandiant Quantifies Campaign at 1,000+ SaaS Environments, (Fri, Apr 3rd)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32864,"This is the sixth update to the TeamPCP supply chain campaign threat intelligence report, ""When the Security Scanner Became the Weapon"" (v3.0, March 25, 2026). Update 005 covered developments through April 1, including the first confirmed victim disclosure (Mercor AI), Wiz's post-compromise cloud en…",Crítica
2026-04-04,Die Linke German political party confirms data stolen by Qilin ransomware,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/die-linke-german-political-party-confirms-data-stolen-by-qilin-ransomware/,,Crítica
2026-04-04,Evolution of Ransomware: Multi-Extortion Ransomware Attacks,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/evolution-of-ransomware-multi-extortion-ransomware-attacks/,,Crítica
