date,title,source,category,url,summary,severity
2026-03-26,"Apple Patches (almost) everything again. March 2026 edition., (Wed, Mar 25th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32830,"Apple released the next version of its operating system, patching 85 different vulnerabilities across all of them. None of the vulnerabilities are currently being exploited. The last three macOS ""generations"" are covered, as are the last two versions of iOS/iPadOS. For tvOS, watchOS, and visionOS, o…",Alta
2026-03-26,Russian Hacker Sentenced to 2 Years for TA551 Botnet-Driven Ransomware Attacks,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/russian-hacker-sentenced-to-2-years-for.html,,Crítica
2026-03-26,Manager of botnet used in ransomware attacks gets 2 years in prison,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/russian-man-sentenced-for-operating-botnet-used-in-ransomware-attacks/,,Crítica
