date,title,source,category,url,summary,severity
2026-03-18,Less Lucrative Ransomware Market Makes Attackers Alter Methods,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/threat-intelligence/less-lucrative-ransomware-market-makes-attackers-alter-methods,,Crítica
2026-03-18,Warlock Ransomware Group Augments Post-Exploitation Activities,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/threat-intelligence/warlock-ransomware-post-exploitation-activities,,Crítica
2026-03-18,"LeakNet Ransomware Uses ClickFix via Hacked Sites, Deploys Deno In-Memory Loader",The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/leaknet-ransomware-uses-clickfix-via.html,,Crítica
2026-03-18,"LeakNet ransomware uses ClickFix, Deno runtime in stealthy attacks",Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/leaknet-ransomware-uses-clickfix-and-deno-runtime-for-stealthy-attacks/,,Crítica
