date,title,source,category,url,summary,severity
2026-03-20,Feds Disrupt IoT Botnets Behind Huge DDoS Attacks,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/03/feds-disrupt-iot-botnets-behind-huge-ddos-attacks/,"The U.S. Justice Department joined authorities in Canada and Germany in dismantling the online infrastructure behind four highly disruptive botnets that compromised more than three million Internet of Things (IoT) devices, such as routers and web cameras. The feds say the four botnets — named Aisuru…",Alta
2026-03-20,"CISA Warns of Zimbra, SharePoint Flaw Exploits; Cisco Zero-Day Hit in Ransomware Attacks",The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/cisa-warns-of-zimbra-sharepoint-flaw.html,,Crítica
