date,title,source,category,url,summary,severity
2026-04-16,"New AgingFly malware used in attacks on Ukraine govt, hospitals",Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/new-agingfly-malware-used-in-attacks-on-ukraine-govt-hospitals/,,Alta
2026-04-16,Microsoft pays $2.3M for cloud and AI flaws at Zero Day Quest,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/microsoft/microsoft-pays-23-million-for-cloud-and-ai-flaws-at-zero-day-quest/,,Media
2026-04-16,Threat landscape for industrial automation systems in Q4 2025,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/industrial-threat-report-q4-2025/119392/,"Statistics across all threats The percentage of ICS computers on which malicious objects were blocked has been decreasing since the beginning of 2024. In Q4 2025, it was 19.7%. Over the past three years, the percentage has decreased by 1.36 times, and by 1.25 times since Q4 2023. Percentage of ICS c…",Crítica
