date,title,source,category,url,summary,severity
2026-03-11,Middle East Conflict Highlights Cloud Resilience Gaps,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cyber-risk/middle-east-conflict-highlights-cloud-resilience-gaps,,Alta
2026-03-11,'Overly Permissive' Salesforce Cloud Configs in the Crosshairs,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/application-security/overly-permissive-salesforce-cloud-configs-crosshairs,,Alta
2026-03-11,"Microsoft Patch Tuesday March 2026, (Tue, Mar 10th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32782,"Microsoft today released patches for 93 vulnerabilities, including 9 vulnerabilities in Chromium affecting Microsoft Edge. 8 of the vulnerabilities are rated critical. 2 were disclosed prior to today but have not yet been exploited. This update addresses no already-exploited vulnerabilities. Disclos…",Crítica
2026-03-11,Threat Actors Mass-Scan Salesforce Experience Cloud via Modified AuraInspector Tool,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/threat-actors-mass-scan-salesforce.html,,Media
2026-03-11,BeatBanker: A dual‑mode Android Trojan,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/beatbanker-miner-and-banker/119121/,"Recently, we uncovered BeatBanker, an Android‑based malware campaign targeting Brazil. It spreads primarily through phishing attacks via a website disguised as the Google Play Store. To achieve their goals, the malicious APKs carry multiple components, including a cryptocurrency miner and a banking …",Crítica
2026-03-11,La Comisión presenta una nueva herramienta de IA para luchar contra las alertas agroalimentarias y el fraude alimentario,Comisión Europea — Noticias,Política Digital EU,https://ec.europa.eu/commission/presscorner/detail/es/ip_26_584,,Alta
