date,title,source,category,url,summary,severity
2026-04-09,Full Sail University to Open IBM Cyber Defense Range Powered by AWS and Cloud Range on Campus,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cybersecurity-operations/full-sail-university-ibm-cyber-defense-range-aws-cloud-range,,Alta
2026-04-09,"Number Usage in Passwords: Take Two, (Thu, Apr 9th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32866,"In a previous diary [1], we looked to see how numbers were used within passwords submitted to honeypots. One of the items of interest was how dates, and more specifically years, were represented within the data and how that changed over time. It is often seen that years and seasons are used in passw…",Alta
2026-04-09,"TeamPCP Supply Chain Campaign: Update 007 - Cisco Source Code Stolen via Trivy-Linked Breach, Google GTIG Tracks TeamPCP as UNC6780, and CISA KEV Deadline Arrives with No Standalone Advisory, (Wed, Ap…",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32880,"This is the seventh update to the TeamPCP supply chain campaign threat intelligence report, ""When the Security Scanner Became the Weapon"" (v3.0, March 25, 2026). Update 006 covered developments through April 3, including the CERT-EU European Commission breach disclosure, ShinyHunters' confirmation o…",Crítica
2026-04-09,How AI Assistants are Moving the Security Goalposts,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/03/how-ai-assistants-are-moving-the-security-goalposts/,"AI-based assistants or “agents” — autonomous programs that have access to the user’s computer, files, online services and can automate virtually any task — are growing in popularity with developers and IT workers. But as so many eyebrow-raising headlines over the past few weeks have shown, these pow…",Crítica
2026-04-09,Who is the Kimwolf Botmaster “Dort”?,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/02/who-is-the-kimwolf-botmaster-dort/,"In early January 2026, KrebsOnSecurity revealed how a security researcher disclosed a vulnerability that was used to build Kimwolf , the world’s largest and most disruptive botnet. Since then, the person in control of Kimwolf — who goes by the handle “ Dort ” — has coordinated a barrage of distribut…",Alta
2026-04-09,"‘Starkiller’ Phishing Service Proxies Real Login Pages, MFA",Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/02/starkiller-phishing-service-proxies-real-login-pages-mfa/,"Most phishing websites are little more than static copies of login pages for popular online destinations, and they are often quickly taken down by anti-abuse activists and security firms. But a stealthy new phishing-as-a-service offering lets customers sidestep both of these pitfalls: It uses clever…",Alta
2026-04-09,Kimwolf Botnet Swamps Anonymity Network I2P,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/02/kimwolf-botnet-swamps-anonymity-network-i2p/,"For the past week, the massive “Internet of Things” (IoT) botnet known as Kimwolf has been disrupting The Invisible Internet Project (I2P), a decentralized, encrypted communications network designed to anonymize and secure online communications. I2P users started reporting disruptions in the network…",Alta
2026-04-09,"New Chaos Variant Targets Misconfigured Cloud Deployments, Adds SOCKS Proxy",The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/04/new-chaos-variant-targets-misconfigured.html,,Media
2026-04-09,#StopRansomware: Interlock,CISA Alerts (US-CERT),Ciberseguridad Internacional,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-203a,,Crítica
2026-04-09,Ransomware Actors Exploit Unpatched SimpleHelp Remote Monitoring and Management to Compromise Utility Billing Software Provider,CISA Alerts (US-CERT),Ciberseguridad Internacional,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-163a,,Crítica
