date,title,source,category,url,summary,severity
2026-04-17,6-Year Ransomware Campaign Targets Turkish Homes & SMBs,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cyberattacks-data-breaches/6-year-ransomware-campaign-turkish-homes-smbs,,Crítica
2026-04-17,"Free real estate: GoPix, the banking Trojan living off your memory",Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/gopix-banking-trojan/119173/,Introduction GoPix is an advanced persistent threat targeting Brazilian financial institutions’ customers and cryptocurrency users. It represents an evolved threat targeting internet banking users through memory-only implants and obfuscated PowerShell scripts. It evolved from the RAT and Automated T…,Crítica
2026-04-17,Commission opens in-depth investigation into Romanian State aid to support refurbishment of Cernavoda 1 nuclear reactor,Comisión Europea — Noticias,Política Digital EU,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_814,,Info
