date,title,source,category,url,summary,severity
2026-03-12,INC Ransomware Group Holds Healthcare Hostage in Oceania,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/threat-intelligence/inc-ransomware-healthcare-oceania,,Crítica
2026-03-12,"Analyzing ""Zombie Zip"" Files (CVE-2026-0866), (Wed, Mar 11th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32786,"A new vulnerability (CVE-2026-0866) has been published : Zombie Zip . It's a method to create a malformed ZIP file that will bypass detection by most anti-virus engines. The malformed ZIP file can not be opened with a ZIP utility, a custom loader is required. The trick is to change the compression m…",Alta
2026-03-12,Iran-Backed Hackers Claim Wiper Attack on Medtech Firm Stryker,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/03/iran-backed-hackers-claim-wiper-attack-on-medtech-firm-stryker/,"A hacktivist group with links to Iran’s intelligence agencies is claiming responsibility for a data-wiping attack against Stryker , a global medical technology company based in Michigan. News reports out of Ireland, Stryker’s largest hub outside of the United States, said the company sent home more …",Alta
2026-03-12,Dozens of Vendors Patch Security Flaws Across Enterprise Software and Network Devices,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/dozens-of-vendors-patch-security-flaws.html,,Media
2026-03-12,WhatsApp introduces parent-managed accounts for pre-teens,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/whatsapp-introduces-parent-managed-accounts-for-pre-teens/,,Media
