date,title,source,category,url,summary,severity
2026-03-19,Interlock Ransomware Exploits Cisco FMC Zero-Day CVE-2026-20131 for Root Access,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/interlock-ransomware-exploits-cisco-fmc.html,,Crítica
2026-03-19,Ransomware gang exploits Cisco flaw in zero-day attacks since January,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/interlock-ransomware-exploited-secure-fmc-flaw-in-zero-day-attacks-since-january/,,Crítica
2026-03-19,Marquis: Ransomware gang stole data of 672K people in cyberattack,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/marquis-ransomware-gang-stole-data-of-672-000-people-in-2025-cyberattack/,,Crítica
2026-03-19,The SOC Files: Time to “Sapecar”. Unpacking a new Horabot campaign in Mexico,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/horabot-campaign/119033/,"Introduction In this installment of our SOC Files series, we will walk you through a targeted campaign that our MDR team identified and hunted down a few months ago. It involves a threat known as Horabot , a bundle consisting of an infamous banking Trojan, an email spreader, and a notably complex at…",Alta
2026-03-19,Speech by Commissioner Lahbib at the Youth Citizens Dialogue on Preparedness,Comisión Europea — Noticias,Política Digital EU,https://ec.europa.eu/commission/presscorner/detail/en/speech_26_649,,Info
