date,title,source,category,url,summary,severity
2026-04-08,Storm-1175 Deploys Medusa Ransomware at 'High Velocity',Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/threat-intelligence/storm-1175-medusa-ransomware-high-velocity,,Crítica
2026-04-08,"A Little Bit Pivoting: What Web Shells are Attackers Looking for?, (Tue, Apr 7th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32874,"Webshells remain a popular method for attackers to maintain persistence on a compromised web server. Many ""arbitrary file write"" and ""remote code execution"" vulnerabilities are used to drop small files on systems for later execution of additional payloads. The names of these files keep changing and …",Alta
2026-04-08,Russia Hacked Routers to Steal Microsoft Office Tokens,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/04/russia-hacked-routers-to-steal-microsoft-office-tokens/,"Hackers linked to Russia’s military intelligence units are using known flaws in older Internet routers to mass harvest authentication tokens from Microsoft Office users, security experts warned today. The spying campaign allowed state-backed Russian hackers to quietly siphon authentication tokens fr…",Crítica
2026-04-08,China-Linked Storm-1175 Exploits Zero-Days to Rapidly Deploy Medusa Ransomware,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/04/china-linked-storm-1175-exploits-zero.html,,Crítica
