date,title,source,category,url,summary,severity
2026-04-19,"NAKIVO v11.2: Ransomware Defense, Faster Replication, vSphere 9, and Proxmox VE 9.0 Support",Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/nakivo-v112-ransomware-defense-faster-replication-vsphere-9-and-proxmox-ve-90-support/,,Crítica
2026-04-19,Payouts King ransomware uses QEMU VMs to bypass endpoint security,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/payouts-king-ransomware-uses-qemu-vms-to-bypass-endpoint-security/,,Crítica
2026-04-19,The SOC Files: Time to “Sapecar”. Unpacking a new Horabot campaign in Mexico,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/horabot-campaign/119033/,"Introduction In this installment of our SOC Files series, we will walk you through a targeted campaign that our MDR team identified and hunted down a few months ago. It involves a threat known as Horabot , a bundle consisting of an infamous banking Trojan, an email spreader, and a notably complex at…",Alta
