date,title,source,category,url,summary,severity
2026-04-25,US Busts Myanmar Ring Targeting US Citizens in Financial Fraud,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cyber-risk/us-busts-myanmar-ring-targeting-us-citizens-financial-fraud,,Alta
2026-04-25,DORA and operational resilience: Credential management as a financial risk control,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/dora-and-operational-resilience-credential-management-as-a-financial-risk-control/,,Media
2026-04-25,PhantomRPC: A new privilege escalation technique in Windows RPC,Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/phantomrpc-rpc-vulnerability/119428/,"Intro Windows Interprocess Communication (IPC) is one of the most complex technologies within the Windows operating system. At the core of this ecosystem is the Remote Procedure Call (RPC) mechanism, which can function as a standalone communication channel or as the underlying transport layer for mo…",Crítica
