date,title,source,category,url,summary,severity
2026-03-25,U.S. Sentences Russian Hacker to 6.75 Years for Role in $9M Ransomware Damage,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/us-sentences-russian-hacker-to-675.html,,Crítica
2026-03-25,"Popular LiteLLM PyPI package backdoored to steal credentials, auth tokens",Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/popular-litellm-pypi-package-compromised-in-teampcp-supply-chain-attack/,,Media
2026-03-25,Yanluowang ransomware access broker gets 81 months in prison,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/yanluowang-ransomware-access-broker-gets-81-months-in-prison/,,Crítica
