date,title,source,category,url,summary,severity
2026-03-13,Hive0163 Uses AI-Assisted Slopoly Malware for Persistent Access in Ransomware Attacks,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/hive0163-uses-ai-assisted-slopoly.html,,Crítica
2026-03-13,England Hockey investigating ransomware data breach,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/england-hockey-investigating-ransomware-data-breach/,,Crítica
2026-03-13,AI-generated Slopoly malware used in Interlock ransomware attack,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/ai-generated-slopoly-malware-used-in-interlock-ransomware-attack/,,Crítica
2026-03-13,US charges another ransomware negotiator linked to BlackCat attacks,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/us-charges-another-ransomware-negotiator-linked-to-blackcat-attacks/,,Crítica
