date,title,source,category,url,summary,severity
2026-04-22,Ransomware Negotiator Pleads Guilty to BlackCat Scheme,Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/insider-threats/ransomware-negotiator-pleads-guilty-blackcat-scheme,,Crítica
2026-04-22,"[Guest Diary] Beyond Cryptojacking: Telegram tdata as a Credential Harvesting Vector, Lessons from a Honeypot Incident, (Wed, Apr 22nd)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32888,"[This is a Guest Diary by L. Carty, an ISC intern as part of the SANS.edu Bachelor's Degree in Applied Cybersecurity (BACS) program [1].] Introduction A few weeks ago, my honeypot logged an incident that changed how I think about modern attacks. A threat actor broke into my system using weak SSH cre…",Crítica
2026-04-22,"A .WAV With A Payload, (Tue, Apr 21st)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32910,"There have been reports of threat actors using a .wav file as a vector for malware . It's a proper .wav file, but they didn't use staganography. The .wav file will play, but you'll just hear noise: That's because the TAs have just replaced the bytes that encode the sound with the BASE64 representati…",Alta
2026-04-22,‘Scattered Spider’ Member ‘Tylerb’ Pleads Guilty,Krebs on Security,Ciberseguridad Internacional,https://krebsonsecurity.com/2026/04/scattered-spider-member-tylerb-pleads-guilty/,A 24-year-old British national and senior member of the cybercrime group “ Scattered Spider ” has pleaded guilty to wire fraud conspiracy and aggravated identity theft. Tyler Robert Buchanan admitted his role in a series of text-message phishing attacks in the summer of 2022 that allowed the group t…,Crítica
2026-04-22,"SystemBC C2 Server Reveals 1,570+ Victims in The Gentlemen Ransomware Operation",The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/04/systembc-c2-server-reveals-1570-victims.html,,Crítica
2026-04-22,Ransomware Negotiator Pleads Guilty to Aiding BlackCat Attacks in 2023,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/04/ransomware-negotiator-pleads-guilty-to.html,,Crítica
2026-04-22,Former ransomware negotiator pleads guilty to BlackCat attacks,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/former-ransomware-negotiator-pleads-guilty-to-blackcat-attacks/,,Crítica
2026-04-22,"La Comisión autoriza la oferta de la línea ferroviaria de Lisboa en virtud del Reglamento sobre subvenciones extranjeras, con sujeción a las condiciones",Comisión Europea — Noticias,Política Digital EU,https://ec.europa.eu/commission/presscorner/detail/es/ip_26_853,,Info
