date,title,source,category,url,summary,severity
2026-03-28,"TeamPCP Supply Chain Campaign: Update 002 - Telnyx PyPI Compromise, Vect Ransomware Mass Affiliate Program, and First Named Victim Claim, (Fri, Mar 27th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32838,"This is the second update to the TeamPCP supply chain campaign threat intelligence report, ""When the Security Scanner Became the Weapon"" (v3.0, March 25, 2026). Update 001 covered developments through March 26. This update covers developments from March 26-27, 2026. CRITICAL: Telnyx Python SDK Compr…",Crítica
2026-03-28,AitM Phishing Targets TikTok Business Accounts Using Cloudflare Turnstile Evasion,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/aitm-phishing-targets-tiktok-business.html,,Alta
2026-03-28,Bearlyfy Hits Russian Firms with Custom GenieLocker Ransomware,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/bearlyfy-hits-70-russian-firms-with.html,,Crítica
2026-03-28,European Commission investigating breach after Amazon cloud account hack,Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/european-commission-investigating-breach-after-amazon-cloud-account-hack/,,Media
2026-03-28,La Comisión responde al ciberataque en su plataforma web Europa,Comisión Europea — Noticias,Política Digital EU,https://ec.europa.eu/commission/presscorner/detail/es/ip_26_748,,Alta
