date,title,source,category,url,summary,severity
2026-03-17,"/proxy/ URL scans with IP addresses, (Mon, Mar 16th)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32800,"Attempts to find proxy servers are among the most common scans our honeypots detect. Most of the time, the attacker attempts to use a host header or include the hostname in the URL to trigger the proxy server forwarding the request. In some cases, common URL prefixes like ""/proxy/"" are used. This we…",Alta
2026-03-17,GlassWorm Attack Uses Stolen GitHub Tokens to Force-Push Malware Into Python Repos,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/glassworm-attack-uses-stolen-github.html,,Alta
2026-03-17,"Stryker attack wiped tens of thousands of devices, no malware needed",Bleeping Computer,Ciberseguridad Internacional,https://www.bleepingcomputer.com/news/security/stryker-attack-wiped-tens-of-thousands-of-devices-no-malware-needed/,,Alta
2026-03-17,"Free real estate: GoPix, the banking Trojan living off your memory",Securelist (Kaspersky ICS/APT),Ciberseguridad Internacional,https://securelist.com/gopix-banking-trojan/119173/,Introduction GoPix is an advanced persistent threat targeting Brazilian financial institutions’ customers and cryptocurrency users. It represents an evolved threat targeting internet banking users through memory-only implants and obfuscated PowerShell scripts. It evolved from the RAT and Automated T…,Crítica
