date,title,source,category,url,summary,severity
2026-04-01,"TeamPCP Breaches Cloud, SaaS Instances With Stolen Credentials",Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/cloud-security/teampcp-breaches-cloud-saas-instances-stolen-credentials,,Alta
2026-04-01,"Iran Deploys 'Pseudo-Ransomware,' Revives Pay2Key Operations",Dark Reading — Government,Ciberseguridad EU,https://www.darkreading.com/threat-intelligence/iran-pseudo-ransomware-pay2key-operations,,Crítica
2026-04-01,"Application Control Bypass for Data Exfiltration, (Tue, Mar 31st)",SANS Internet Stormcast,Ciberseguridad EU,https://isc.sans.edu/diary/rss/32850,"In case of a cyber incident, most organizations fear more of data loss (via exfiltration) than regular data encryption because they have a good backup policy in place. If exfiltration happened, it means a total loss of control of the stolen data with all the consequences (PII, CC numbers, …). While …",Alta
2026-04-01,Vertex AI Vulnerability Exposes Google Cloud Data and Private Artifacts,The Hacker News,Ciberseguridad Internacional,https://thehackernews.com/2026/03/vertex-ai-vulnerability-exposes-google.html,,Media
2026-04-01,Commission opens formal State aid assessment of French support to new nuclear programme,Comisión Europea — Noticias,Política Digital EU,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_744,,Info
